BANKCode,KEIY_SEQ,CIF_NO,LOGIN_PWD,LOGIN_PWD_Date,User_PWD,CreateDate,Email,STRT_YMD,STOP_YMD,T_DT,MAIL_STOP_DT
11O,6,9999002,4BACA5C5A93960376ACDA41ED280AB62,27/02/2015 14:30,D69135B57A5A4B6D62C54228A6D1683A,6/1/2017 14:59,1rrrrr-rrr_rr.0000@gmail.com,20140515,99991231,31/12/9999 23:59,6/1/2017 14:59
110,138259,9223456,750767504CBBFBCAA5E916ADA80A52AC,16/12/2015 18:15,4BACA5C5A93960376ACDA41ED280AB62,14/03/2017 14:09,2rrrrr-rrr_rr.0000@gmail.com,20140615,99991231,31/12/9999 23:59,14/03/2017 14:09
110,138260,9223456,750767504CBBFBCAA5E916ADA80A52AC,16/12/2015 18:15,4BACA5C5A93960376ACDA41ED280AB62,29/08/2017 15:54,a@a.com,20140715,99991231,31/12/9999 23:59,0001/01/01
110,138261,9223456,750767504CBBFBCAA5E916ADA80A52AC,16/12/2015 18:15,,,a@a.com,20140815,,,10/1/2017 18:31
110,144839,1234567890,D69135B57A5A4B6D62C54228A6D1683A,12/4/2016 17:44,,,a@a.com,20140915,,,10/1/2017 18:31
110,144840,1234567890,D69135B57A5A4B6D62C54228A6D1683A,12/4/2016 17:44,,,a@a.com,20141015,,,10/1/2017 18:31
110,144841,1234567890,D69135B57A5A4B6D62C54228A6D1683A,12/4/2016 17:44,,,a@a.com,20141115,,,10/1/2017 18:31
110,138258,,4BACA5C5A93960376ACDA41ED280AB62,2/3/2018 13:49,,,a@a.com,20141215,,,10/1/2017 18:31
110,138262,,4BACA5C5A93960376ACDA41ED280AB62,17/12/2015 11:27,,,a@a.com,20150101,,,10/1/2017 18:31
110,138262,,D69135B57A5A4B6D62C54228A6D1683A,23/02/2015 20:56,,,a@a.com,20150201,,,10/1/2017 18:31
110,138257,,4BACA5C5A93960376ACDA41ED280AB62,29/08/2017 15:56,,,a@a.com,20150301,,,10/1/2017 18:31
110,138263,,4BACA5C5A93960376ACDA41ED280AB62,4/1/2016 2:43,,,a@a.com,20150401,,,10/1/2017 18:31
110,138264,,4BACA5C5A93960376ACDA41ED280AB62,4/1/2016 2:46,,,a@a.com,20150501,,,10/1/2017 18:31
114,138265,,A1D86DBDBB26E43400AD438D962C1A87,1/1/2016 0:00,,20/10/2017 10:00,a@a.com,20140201,99991231,,
114,138266,,A1D86DBDBB26E43400AD438D962C1A87,26/06/2018 18:34,,20/10/2017 10:00,a@a.com,20140301,99991231,,
114,138267,,A1D86DBDBB26E43400AD438D962C1A87,1/1/2016 0:00,,20/10/2017 10:00,a@a.com,20140401,99991231,,
114,138268,,A1D86DBDBB26E43400AD438D962C1A87,29/08/2017 15:54,,20/10/2017 10:00,a@a.com,20140501,99991231,,
114,138269,,A1D86DBDBB26E43400AD438D962C1A87,26/06/2018 20:55,,20/10/2017 10:00,a@a.com,20140601,99991231,,
114,138270,,A1D86DBDBB26E43400AD438D962C1A87,29/08/2017 15:53,,20/10/2017 10:00,a@a.com,20140701,99991231,,
114,138271,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20140801,99991231,,
114,138272,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20140901,99991231,,
114,138273,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20141001,99991231,,
114,138274,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20141101,99991231,,
114,138275,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20141201,99991231,,
114,138276,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20140115,99991231,,
114,138277,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20140215,99991231,,
114,399000,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20140315,99991231,,
114,399001,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20140415,99991231,,
114,399002,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20140515,99991231,,
114,399003,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20140615,99991231,,
114,399004,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20140715,99991231,,
115,399005,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20140815,99991231,,
115,399006,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20140915,99991231,,
115,399007,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20141015,99991231,,
115,399008,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20141115,99991231,,
115,399009,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20141215,99991231,,
115,399010,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20150115,99991231,,
115,399011,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20150215,99991231,,
115,399012,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20150315,99991231,,
115,399013,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20150415,99991231,,
115,399014,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20150515,99991231,,
115,399015,,,20/10/2017 10:00,,20/10/2017 10:00,a@a.com,20150615,99991231,,
